file_size_kb,ext,double_ext,entropy_proxy,write_count_last_min,rename_flag,non_printable_pct,label
240.747,docx,0,8.0,8,0,8,1
118.711,xls,0,5.619,2,1,49,1
86.097,xls,0,7.875,9,1,3,1
242.485,pptx,0,3.708,2,1,10,1
104.491,dll,0,8.0,3,0,96,1
436.317,enc,0,5.883,1,1,14,1
63.567,exe,1,6.912,0,0,87,1
402.858,exe,0,8.0,0,0,100,1
162.864,bin,1,7.513,2,0,94,1
146.516,pdf,0,5.563,5,0,0,1
195.807,txt,1,6.322,4,0,64,1
107.47,enc,1,7.313,2,1,59,1
138.951,png,0,8.0,0,0,98,1
268.383,exe,0,4.937,5,0,29,1
107.175,dll,1,5.714,4,0,34,1
44.059,enc,0,5.047,9,0,7,1
306.556,dll,0,4.864,3,0,17,1
226.234,jpg,0,5.052,5,0,27,1
492.747,enc,0,7.124,7,0,3,1
143.933,dll,0,7.771,6,0,34,1
376.412,dll,0,8.0,8,1,85,1
100.338,dll,0,4.266,3,0,8,1
194.937,xls,0,8.0,4,1,100,1
62.162,txt,1,6.9,1,0,45,1
323.614,exe,0,7.332,7,0,34,1
91.191,exe,0,3.707,7,1,28,1
160.719,png,0,7.938,4,0,18,1
293.628,pptx,0,4.534,3,1,18,1
179.643,exe,1,4.277,8,0,27,1
153.683,exe,1,5.161,7,1,0,1
153.26,txt,0,3.291,7,0,4,1
276.185,xls,1,6.451,1,0,4,1
273.436,png,1,7.881,5,0,86,1
985.16,enc,0,8.0,8,0,16,1
147.875,enc,0,7.634,2,1,90,1
492.189,dll,0,5.618,1,1,20,1
287.713,pptx,0,8.0,0,0,18,1
83.303,dll,0,6.091,3,1,47,1
99.522,dll,0,6.303,7,1,60,1
335.754,dll,1,5.193,9,0,14,1
51.147,exe,0,6.177,5,1,2,1
167.59,exe,1,8.0,3,0,100,1
771.722,docx,0,6.738,2,0,36,1
112.183,pptx,0,8.0,4,0,98,1
28.783,dll,0,3.531,9,0,49,1
109.426,jpg,0,8.0,10,0,30,1
190.695,dll,0,4.498,4,1,12,1
86.71,pdf,0,4.58,5,1,36,1
105.167,enc,0,8.0,5,1,21,1
12.485,enc,0,3.734,3,0,92,1
349.538,pdf,0,8.0,6,0,100,1
196.066,xls,1,7.234,5,1,63,1
133.739,pptx,1,5.388,0,0,41,1
119.782,dll,0,4.461,1,1,27,1
246.014,exe,0,4.703,5,0,18,1
587.76,xls,0,8.0,8,0,57,1
732.273,enc,0,6.204,3,0,37,1
83.585,dll,0,8.0,4,0,84,1
308.285,dll,0,5.398,6,0,5,1
316.449,bin,0,4.286,7,0,14,1
752.417,xls,1,8.0,3,0,48,1
137.962,pptx,0,3.447,9,0,7,1
41.186,png,0,2.644,5,0,1,1
138.277,enc,0,5.16,11,0,5,1
208.769,dll,0,5.665,3,1,4,1
75.109,pptx,0,8.0,5,0,60,1
94.229,bin,0,7.419,4,1,9,1
838.636,exe,0,8.0,3,0,26,1
272.677,pdf,0,4.83,6,0,5,1
197.081,dll,0,5.856,7,1,13,1
460.304,enc,1,4.745,1,1,1,1
151.73,pdf,0,7.122,5,1,18,1
33.724,enc,1,5.069,2,0,71,1
32.384,docx,0,4.61,8,1,0,1
742.851,exe,0,5.316,10,1,29,1
165.193,jpg,0,3.577,3,0,11,1
167.11,docx,0,5.337,11,1,28,1
32.314,exe,0,6.166,5,0,9,1
124.837,bin,1,8.0,0,1,90,1
879.525,txt,0,8.0,8,1,14,1
97.775,dll,0,8.0,5,1,24,1
76.764,enc,0,4.728,6,0,44,1
138.346,png,1,8.0,4,1,41,1
228.146,bin,1,8.0,4,0,43,1
90.997,jpg,0,4.346,10,1,19,1
53.4,enc,0,7.885,8,0,86,1
53.374,exe,1,3.856,10,0,15,1
31.332,png,0,2.468,5,0,19,1
106.538,exe,1,7.127,5,0,97,1
186.142,xls,0,7.404,6,0,67,1
375.086,enc,1,5.223,4,0,4,1
415.854,docx,1,4.958,7,0,4,1
177.526,pdf,1,3.777,6,0,22,1
37.318,pdf,0,4.333,7,0,9,1
499.59,exe,0,6.479,7,0,8,1
80.452,bin,0,5.186,3,1,4,1
253.418,exe,0,4.426,0,0,17,1
160.421,png,1,8.0,2,1,50,1
252.377,pptx,1,8.0,10,0,100,1
24.784,exe,0,3.791,7,0,60,1
372.37,txt,0,7.272,1,0,69,1
257.928,txt,0,8.0,7,0,22,1
56.054,exe,1,7.853,3,1,42,1
277.226,txt,0,7.045,9,1,55,1
61.747,bin,0,8.0,8,0,7,1
546.045,pdf,0,8.0,7,0,1,1
122.324,dll,0,8.0,6,0,21,1
86.343,dll,0,3.941,6,1,24,1
297.238,exe,0,5.344,4,0,35,1
580.755,png,0,4.988,6,0,28,1
120.117,pptx,1,5.498,2,1,57,1
80.239,png,0,5.937,8,0,14,1
164.13,enc,0,4.155,7,0,18,1
308.745,xls,0,7.84,8,0,40,1
209.368,xls,0,4.08,4,1,16,1
279.07,exe,1,7.753,5,0,12,1
135.828,enc,0,8.0,9,1,70,1
248.876,dll,0,4.664,3,1,8,1
56.266,xls,0,6.253,0,1,7,1
53.027,exe,0,7.943,1,0,100,1
321.437,pptx,0,7.595,9,1,52,1
59.616,enc,0,7.604,9,0,87,1
234.567,enc,0,8.0,1,1,85,1
53.145,dll,0,3.725,5,0,1,1
208.695,enc,0,5.806,3,0,12,1
101.368,dll,0,3.144,10,0,13,1
548.475,jpg,0,8.0,7,1,49,1
165.003,dll,1,7.678,2,0,88,1
516.235,exe,0,8.0,4,1,42,1
412.491,txt,0,8.0,0,0,45,1
63.623,bin,0,8.0,3,1,100,1
74.503,png,1,4.847,0,0,41,1
405.217,exe,0,8.0,2,1,76,1
67.256,jpg,0,5.812,5,1,10,1
54.557,docx,1,3.103,2,0,24,1
445.247,pptx,0,7.077,4,0,17,1
73.173,exe,0,8.0,7,0,19,1
581.836,bin,1,4.431,7,1,1,1
371.854,dll,0,7.919,3,1,24,1
396.494,pptx,0,5.194,3,1,36,1
61.826,enc,0,4.339,0,0,10,1
721.821,pptx,1,8.0,5,1,100,1
126.258,txt,0,5.263,8,1,14,1
720.772,bin,0,6.412,6,0,43,1
295.038,docx,0,8.0,1,1,46,1
111.016,xls,0,8.0,1,1,100,1
71.254,txt,0,2.674,1,0,4,1
337.006,xls,1,6.817,3,0,32,1
182.146,enc,0,8.0,4,1,100,1
51.328,exe,0,5.816,7,0,10,1
172.516,exe,0,8.0,8,0,100,1
221.03,bin,1,5.077,8,1,16,1
127.341,dll,1,7.334,5,1,27,1
27.417,docx,1,5.801,8,0,48,1
79.598,dll,0,3.599,0,0,8,1
212.107,exe,0,4.419,4,1,26,1
93.255,bin,0,4.172,2,0,8,1
263.056,dll,0,7.366,3,1,21,1
1201.997,enc,0,6.544,3,0,2,1
20.169,exe,0,4.545,4,1,65,1
140.755,enc,0,4.077,8,0,31,1
237.129,pdf,0,8.0,0,0,27,1
140.456,exe,0,6.973,4,0,59,1
71.874,enc,0,7.946,6,0,61,1
815.446,exe,0,8.0,3,0,26,1
265.907,enc,0,6.382,5,1,20,1
94.408,docx,0,5.432,1,0,9,1
39.229,xls,0,5.639,4,0,61,1
23.526,bin,0,5.493,4,0,7,1
49.121,jpg,0,6.512,6,1,27,1
646.616,dll,0,7.463,8,0,62,1
193.697,pptx,0,4.394,6,1,20,1
261.691,txt,1,6.674,6,0,53,1
218.584,png,0,7.769,6,0,39,1
318.749,pdf,1,5.12,5,1,4,1
328.176,dll,1,7.709,4,0,32,1
31.819,dll,0,2.83,1,1,15,1
78.765,exe,0,7.048,0,1,12,1
174.101,xls,0,7.259,4,1,88,1
205.706,exe,1,8.0,0,0,99,1
505.729,dll,0,8.0,5,1,100,1
123.337,dll,1,4.054,6,0,33,1
249.784,docx,0,6.487,6,1,17,1
119.762,pptx,1,5.883,1,1,30,1
42.87,pptx,1,2.925,7,1,7,1
71.549,exe,0,8.0,3,0,30,1
11.757,bin,1,4.172,3,1,31,1
21.536,exe,1,5.678,7,1,27,1
585.706,enc,0,8.0,4,1,80,1
451.964,enc,0,4.286,5,0,18,1
